year,month,category,current_perception_mean_estimate,current_perception_mean_se,current_perception_median_estimate,current_perception_median_se,three_months_ahead_expectation_mean_estimate,three_months_ahead_expectation_mean_se,three_months_ahead_expectation_median_estimate,three_months_ahead_expectation_median_se,one_year_ahead_expectation_mean_estimate,one_year_ahead_expectation_mean_se,one_year_ahead_expectation_median_estimate,one_year_ahead_expectation_median_se,updated_on,data_url,data_source,released_on
2018,December,Household Inflation Expectations,8.3,0.11,7.1,0.18,9.1,0.11,8.2,0.15,8.6,0.13,8.5,0.17,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-01-01
2019,March,Household Inflation Expectations,8.0,0.09,6.9,0.14,8.7,0.10,7.8,0.12,8.3,0.12,8.1,0.17,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-04-01
2019,May,Household Inflation Expectations,7.8,0.10,6.6,0.15,8.6,0.10,7.6,0.12,8.4,0.12,8.1,0.16,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-06-01
2019,July,Household Inflation Expectations,7.9,0.10,6.6,0.15,8.6,0.10,7.6,0.12,8.3,0.13,7.9,0.18,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-08-01
2019,September,Household Inflation Expectations,8.2,0.12,7.1,0.18,8.9,0.12,8.0,0.15,8.6,0.13,8.1,0.19,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-10-01
2019,November,Household Inflation Expectations,9.1,0.10,8.2,0.17,9.8,0.11,9.2,0.23,9.7,0.12,9.9,0.19,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-12-01
2020,January,Household Inflation Expectations,8.7,0.11,7.6,0.19,9.5,0.11,8.6,0.16,9.3,0.13,9.2,0.25,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2020-02-01
2020,March,Household Inflation Expectations,8.4,0.09,7.6,0.12,9.2,0.10,8.5,0.11,9.1,0.11,9.0,0.18,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2020-04-01
2020,May,Household Inflation Expectations,9.6,0.09,9.3,0.28,10.6,0.09,10.4,0.06,9.7,0.12,10.2,0.07,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2020-06-01
2020,July,Household Inflation Expectations,10.0,0.11,9.9,0.21,10.8,0.11,10.5,0.06,9.8,0.14,10.3,0.08,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2020-08-01
2020,September,Household Inflation Expectations,9.9,0.10,9.8,0.25,10.8,0.10,10.4,0.07,9.9,0.12,10.3,0.08,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2020-10-01
2020,November,Household Inflation Expectations,9.5,0.11,8.8,0.18,10.4,0.11,10.1,0.09,9.8,0.13,10.1,0.11,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2020-12-01
2021,January,Household Inflation Expectations,9.1,0.12,8.2,0.17,10.0,0.12,9.3,0.29,9.7,0.13,10.1,0.15,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2021-02-01
2021,March,Household Inflation Expectations,9.4,0.11,8.7,0.16,10.4,0.11,10.1,0.11,10.0,0.12,10.2,0.09,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2021-04-01
2021,May,Household Inflation Expectations,10.4,0.09,10.2,0.04,11.4,0.09,10.8,0.07,10.7,0.11,10.9,0.12,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2021-06-01
2021,July,Household Inflation Expectations,10.5,0.11,10.3,0.06,11.7,0.11,11.3,0.42,11.0,0.13,11.5,0.49,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2021-08-01
2021,September,Household Inflation Expectations,10.4,0.11,10.2,0.06,11.4,0.11,10.8,0.10,10.8,0.13,10.9,0.16,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2021-10-01
2021,November,Household Inflation Expectations,10.7,0.11,10.4,0.05,11.9,0.11,12.3,0.28,11.5,0.12,12.6,0.29,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2021-12-01
2022,January,Household Inflation Expectations,9.9,0.10,9.7,0.29,11.1,0.10,10.6,0.08,10.7,0.11,10.7,0.10,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2022-02-01
2022,March,Household Inflation Expectations,9.8,0.12,9.7,0.31,11.1,0.12,10.7,0.09,10.9,0.13,10.8,0.11,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2022-04-01
2022,May,Household Inflation Expectations,10.3,0.11,10.1,0.08,11.4,0.11,10.8,0.11,11.1,0.12,11.1,0.27,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2022-06-01
2022,July,Household Inflation Expectations,9.8,0.10,9.3,0.24,10.7,0.11,10.3,0.08,10.3,0.13,10.5,0.08,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2022-08-01
2022,September,Household Inflation Expectations,10.4,0.10,10.2,0.05,11.3,0.10,10.8,0.09,11.1,0.12,11.0,0.23,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2022-10-01
2022,November,Household Inflation Expectations,10.0,0.10,9.8,0.23,10.9,0.10,10.4,0.07,10.8,0.11,10.8,0.08,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2022-12-01
2023,January,Household Inflation Expectations,9.7,0.09,9.6,0.30,10.8,0.10,10.5,0.08,10.8,0.11,10.8,0.09,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2023-02-01
2023,March,Household Inflation Expectations,9.5,0.10,8.9,0.17,10.5,0.10,10.2,0.08,10.4,0.11,10.5,0.07,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2023-04-01
2023,May,Household Inflation Expectations,9.3,0.09,8.8,0.13,10.3,0.10,10.1,0.08,10.2,0.11,10.4,0.08,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2023-06-01
2023,July,Household Inflation Expectations,9.3,0.09,8.9,0.14,10.2,0.09,10.0,0.15,10.0,0.11,10.3,0.07,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2023-08-01
2023,September,Household Inflation Expectations,9.0,0.09,8.4,0.11,9.7,0.09,9.1,0.17,9.3,0.11,9.9,0.17,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2023-10-01
2023,November,Household Inflation Expectations,8.9,0.09,8.2,0.12,9.7,0.09,9.1,0.18,9.6,0.10,10.1,0.10,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2023-12-01
2024,January,Household Inflation Expectations,8.8,0.09,8.1,0.12,9.7,0.09,9.2,0.17,9.6,0.10,10.0,0.13,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2024-02-01
2024,March,Household Inflation Expectations,8.7,0.09,8.1,0.13,9.6,0.09,9.0,0.16,9.5,0.10,9.8,0.19,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2024-04-01
2024,May,Household Inflation Expectations,8.7,0.10,8.0,0.13,9.8,0.10,9.2,0.19,9.6,0.12,9.9,0.19,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2024-06-01
2024,July,Household Inflation Expectations,8.9,0.09,8.2,0.12,9.8,0.10,9.4,0.24,9.8,0.11,10.1,0.09,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2024-08-01
2024,September,Household Inflation Expectations,8.6,0.09,8.1,0.13,9.6,0.10,9.2,0.23,9.6,0.12,10.0,0.14,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2024-10-01
2024,November,Household Inflation Expectations,8.9,0.09,8.4,0.13,9.7,0.10,9.1,0.20,9.7,0.12,10.1,0.11,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2024-12-01
2025,January,Household Inflation Expectations,8.8,0.08,8.3,0.11,9.8,0.09,9.3,0.23,9.9,0.11,10.2,0.07,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2025-02-01
2025,March,Household Inflation Expectations,8.5,0.08,7.8,0.11,9.5,0.08,8.9,0.13,9.4,0.11,9.7,0.23,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2025-04-01
2025,May,Household Inflation Expectations,8.4,0.08,7.7,0.12,9.5,0.09,8.9,0.12,9.4,0.11,9.5,0.25,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2025-06-01
2025,July,Household Inflation Expectations,8.1,0.12,7.2,0.26,8.9,0.13,8.3,0.26,8.7,0.17,9.0,0.39,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2025-08-01
2025,September,Household Inflation Expectations,8.4,0.08,7.4,0.13,9.0,0.08,8.1,0.11,8.8,0.11,8.7,0.16,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2025-10-01
2025,November,Household Inflation Expectations,7.7,0.08,6.6,0.14,8.4,0.08,7.6,0.10,8.1,0.10,8.0,0.15,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2025-12-01
2026,January,Household Inflation Expectations,7.8,0.08,6.9,0.16,8.9,0.09,7.9,0.12,8.9,0.11,8.6,0.15,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2026-02-01
2026,March,Household Inflation Expectations,8.2,0.09,7.2,0.13,9.3,0.09,8.5,0.13,9.1,0.11,8.8,0.15,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2026-04-01
